Service Provider,Package Name,Type,Data Limit,Call Minutes,Price,Validity
Jazz,Daily Browser 94,Internet,500MB,,PKR 15.95,1 Day
Zong,Super Student Bundle 62 59,Calls+Internet,30MB,Unlimited,PKR 1.52,2 Hours
Jazz,Daily Browser 87 58,Internet,500MB,,PKR 12.81,1 Day
Zong,Super Student Bundle 62 53,Calls+Internet,30MB,Unlimited,PKR 8.8,2 Hours
Jazz,Daily Browser 94 77,Internet,500MB,,PKR 18.45,1 Day
Ufone,Daily Chat 59,SMS+Internet,10MB,10000,PKR 7.26,1 Day
Telenor,Daily Offpeak 15 57,Internet,350MB,,PKR 17.79,1 Day
Zong,Super Student Bundle 85 87 25,Calls+Internet,30MB,Unlimited,PKR 6.87,2 Hours
Jazz,Daily Browser 87 41 12 77,Internet,500MB,,PKR 11.45,1 Day
Jazz,Daily Browser 87 87,Internet,500MB,,PKR 8.03,1 Day
Zong,Super Student Bundle 85 88 71,Calls+Internet,30MB,Unlimited,PKR 10.79,2 Hours
Jazz,Daily Browser 87 58 92,Internet,500MB,,PKR 12.2,1 Day
Ufone,Daily Chat 59 37,SMS+Internet,10MB,10000,PKR 11.26,1 Day
Zong,Super Student Bundle 10,Calls+Internet,30MB,Unlimited,PKR 8.3,2 Hours
Zong,Shandaar Daily Offer 77,Calls+SMS+Internet,50MB,Unlimited,PKR 13.92,1 Day
Zong,Super Student Bundle 62 59 96,Calls+Internet,30MB,Unlimited,PKR 1.42,2 Hours
Zong,Daily Basic 77 71 19,Internet,100MB,,PKR 16.37,1 Day
Zong,Daily Basic 73 19,Internet,100MB,,PKR 22.87,1 Day
Zong,Hello 1 Din 9 22,Calls+SMS,,150,PKR 16.39,1 Day
Telenor,Daily Offpeak 15 79 9,Internet,350MB,,PKR 16.46,1 Day
Telenor,Daily Lite Bundle 20 53,Internet,50MB,,PKR 8.77,1 Day
Telenor,Daily SMS Bundle 70 45,SMS,,240,PKR 8.17,1 Day
Ufone,Power Hour 68 90,Calls+Internet+SMS,60MB,60,PKR 11.66,1 Hour
Zong,Shandaar Daily Offer 77 52,Calls+SMS+Internet,50MB,Unlimited,PKR 12.35,1 Day
Jazz,Daily Browser 87 58 25,Internet,500MB,,PKR 12.26,1 Day
Jazz,Daily Browser 87 41 12 64 17,Internet,500MB,,PKR 18.94,1 Day
Zong,Super Student Bundle 7 1 2,Calls+Internet,30MB,Unlimited,PKR 5.39,2 Hours
Telenor,Daily Lite Bundle 20 64,Internet,50MB,,PKR 12.21,1 Day
Zong,Super Student Bundle 68,Calls+Internet,30MB,Unlimited,PKR 8.97,2 Hours
Zong,Hello 1 Din 95,Calls+SMS,,150,PKR 11.93,1 Day
Telenor,Daily Lite Bundle 20 64 56,Internet,50MB,,PKR 16.69,1 Day
Zong,Super Student Bundle 85 88 36,Calls+Internet,30MB,Unlimited,PKR 14.61,2 Hours
Ufone,Daily Chat 59 65,SMS+Internet,10MB,10000,PKR 11.16,1 Day
Zong,Super Student Bundle 62 59 98,Calls+Internet,30MB,Unlimited,PKR 6.13,2 Hours
Ufone,3 Day Bucket 80 76,Internet,100MB,,PKR 31.33,3 Days
Ufone,3 Day Bucket 80 76 22,Internet,100MB,,PKR 36.06,3 Days
Zong,Super Student Bundle 85 88 39,Calls+Internet,30MB,Unlimited,PKR 8.93,2 Hours
Ufone,Power Hour 33,Calls+Internet+SMS,60MB,60,PKR 10.88,1 Hour
Ufone,3 Day Bucket 80 76 87,Internet,100MB,,PKR 31.26,3 Days
Jazz,Daily Browser 82,Internet,500MB,,PKR 11.28,1 Day
Zong,Daily Basic 77 71 81,Internet,100MB,,PKR 21.83,1 Day
Ufone,Daily Light 17,Internet,40MB,,PKR 9.88,1 Day
Zong,Super Student Bundle 7 1 69,Calls+Internet,30MB,Unlimited,PKR 0.21,2 Hours
Zong,Super Student Bundle 7 1 2 3,Calls+Internet,30MB,Unlimited,PKR 9.04,2 Hours
Zong,Daily Basic 77 71 81 65,Internet,100MB,,PKR 23.97,1 Day
Jazz,Daily Browser 87 41 12 49,Internet,500MB,,PKR 13.35,1 Day
Telenor,Daily Offpeak 15 10,Internet,350MB,,PKR 22.87,1 Day
Zong,Super Student Bundle 62 59 86,Calls+Internet,30MB,Unlimited,PKR -0.25,2 Hours
Telenor,Daily Offpeak 15 79 9 42,Internet,350MB,,PKR 15.05,1 Day
Jazz,Daily Browser 87 58 6,Internet,500MB,,PKR 15.1,1 Day
Zong,Daily Basic 25 64,Internet,100MB,,PKR 14.96,1 Day
Telenor,Daily Lite Bundle 20 10,Internet,50MB,,PKR 12.61,1 Day
Ufone,3 Day Bucket 80 76 22 60,Internet,100MB,,PKR 38.67,3 Days
Zong,Super Student Bundle 62 59 64,Calls+Internet,30MB,Unlimited,PKR 10.0,2 Hours
Ufone,Daily Light 17 77,Internet,40MB,,PKR 10.98,1 Day
Telenor,Daily Lite Bundle 20 53 90,Internet,50MB,,PKR 10.77,1 Day
Jazz,Daily Browser 54 19,Internet,500MB,,PKR 13.11,1 Day
Zong,Hello 1 Din 95 65,Calls+SMS,,150,PKR 10.86,1 Day
Zong,Daily Basic 2 71 65,Internet,100MB,,PKR 15.9,1 Day
Zong,Super Student Bundle 68 76,Calls+Internet,30MB,Unlimited,PKR 13.92,2 Hours
Jazz,Daily Browser 94 77 45,Internet,500MB,,PKR 17.59,1 Day
Zong,Super Student Bundle 62 59 94,Calls+Internet,30MB,Unlimited,PKR 3.37,2 Hours
Jazz,Daily Social Bundle 93,Internet,500MB,,PKR 11.85,1 Day
Zong,Daily Basic 2 27,Internet,100MB,,PKR 15.92,1 Day
Ufone,Power Hour 39,Calls+Internet+SMS,60MB,60,PKR 6.06,1 Hour
Zong,Super Student Bundle 7 1 69 89,Calls+Internet,30MB,Unlimited,PKR 0.36,2 Hours
Telenor,Daily Lite Bundle 20 78,Internet,50MB,,PKR 14.48,1 Day
Zong,Super Student Bundle 83,Calls+Internet,30MB,Unlimited,PKR 6.39,2 Hours
Jazz,Daily Browser 87 58 20,Internet,500MB,,PKR 13.63,1 Day
Zong,Super Student Bundle 85 87 25 44,Calls+Internet,30MB,Unlimited,PKR 8.33,2 Hours
Zong,Daily Basic 25 64 Promo,Internet,100MB,,PKR 8.11,1 Day
Jazz,Daily Browser Promo,Internet,500MB,,PKR 6.65,1 Day
Jazz,Daily Browser 87 41 12 64 17 Promo,Internet,500MB,,PKR 14.19,1 Day
Telenor,Daily Lite Bundle 20 53 90 Promo,Internet,50MB,,PKR 7.08,1 Day
Jazz,Daily Browser 87 41 Promo,Internet,500MB,,PKR 10.81,1 Day
Ufone,Daily Light Promo,Internet,40MB,,PKR 8.72,1 Day
Ufone,Power Hour 68 Promo,Calls+Internet+SMS,60MB,60,PKR 4.31,1 Hour
Zong,Daily Basic 25 64 Promo,Internet,100MB,,PKR 11.92,1 Day
Ufone,3 Day Bucket Promo,Internet,100MB,,PKR 21.04,3 Days
Jazz,Daily Browser 87 58 92 Promo,Internet,500MB,,PKR 9.34,1 Day
Ufone,Weekly Power Hour 68 12,Calls+Internet+SMS,418MB,455,PKR 39.55,7 Days
Zong,Weekly Super Student Bundle 62 59 86 57,Calls+Internet,513MB,Unlimited,PKR -10.6,7 Days
Telenor,Weekly Daily Lite Bundle 20 78 71,Internet,681MB,,PKR 90.24,7 Days
Telenor,Weekly Daily Offpeak 15 2 72 100,Internet,2451MB,,PKR 148.03,7 Days
Telenor,Weekly Daily Offpeak 15 79 69,Internet,2682MB,,PKR 111.0,7 Days
Jazz,Weekly Daily Browser 87 58 92 Promo 75,Internet,3626MB,,PKR 75.59,7 Days
Zong,Weekly Hello 1 Din 9 22 41,Calls+SMS,,1152,PKR 115.43,7 Days
Zong,Weekly Daily Basic 100,Internet,1033MB,,PKR 95.5,7 Days
Zong,Weekly Weekly Hello 1 Din 9 22 41 6,Calls+SMS,,7420,PKR 587.18,7 Days
Telenor,Weekly Daily Offpeak 15 2 60,Internet,2604MB,,PKR 138.71,7 Days
Jazz,Weekly Daily Browser 87 58 70,Internet,3774MB,,PKR 68.8,7 Days
Zong,Weekly Daily Basic 2 27 52,Internet,661MB,,PKR 107.25,7 Days
Jazz,Weekly Daily Browser 87 41 12 49 38,Internet,3497MB,,PKR 71.98,7 Days
Ufone,Weekly Weekly Power Hour 68 12 88,Calls+Internet+SMS,2789MB,2988,PKR 288.11,7 Days
Ufone,Weekly Power Hour 39 81,Calls+Internet+SMS,467MB,387,PKR 54.32,7 Days
Telenor,Monthly Daily Offpeak 15 74,Internet,10469MB,,PKR 463.16,30 Days
Telenor,Monthly Daily Offpeak 15 79 9 42 34,Internet,10520MB,,PKR 383.97,30 Days
Jazz,Monthly Daily Browser 87 41 Promo 31,Internet,15166MB,,PKR 269.18,30 Days
Jazz,Monthly Daily Browser 87 41 12 64 17 71,Internet,15198MB,,PKR 480.11,30 Days
Zong,Monthly Hello 1 Din 9 27,Calls+SMS,,4623,PKR 307.17,30 Days
Zong,Monthly Super Student Bundle 85 77,Calls+Internet,984MB,Unlimited,PKR 216.2,30 Days
Zong,Monthly Weekly Daily Basic 100 100,Internet,20897MB,,PKR 2257.88,30 Days
Zong,Monthly Monthly Weekly Daily Basic 100 100 38,Internet,630360MB,,PKR 56257.5,30 Days
Telenor,Monthly 3 Day Voice Offer 14,Calls,,17984,PKR 900.9,30 Days
Zong,Monthly Shandaar Daily Offer 77 84,Calls+SMS+Internet,1671MB,Unlimited,PKR 366.19,30 Days
Ufone,Monthly Power Hour 33 3,Calls+Internet+SMS,1942MB,1892,PKR 271.37,30 Days
Telenor,Monthly Daily Lite Bundle 20 64 56 94,Internet,1589MB,,PKR 428.89,30 Days
Zong,Monthly Super Student Bundle 7 1 2 5,Calls+Internet,1263MB,Unlimited,PKR 135.79,30 Days
Jazz,Monthly Daily Browser 87 58 25 69,Internet,15459MB,,PKR 317.46,30 Days
Zong,Monthly Super Student Bundle 68 53,Calls+Internet,1022MB,Unlimited,PKR 217.52,30 Days
Zong,Hot Offer Hello 1 Din 9 22 86,Calls+SMS,,150,PKR 12.01,1 Day
Telenor,Hot Offer Weekly Daily Offpeak 15 79 69 90,Internet,2682MB,,PKR 46.11,7 Days
Jazz,Hot Offer Daily Browser Promo 7,Internet,500MB,,PKR 3.8,1 Day
Ufone,Hot Offer Daily Light 48,Internet,40MB,,PKR 8.33,1 Day
Jazz,Hot Offer Daily Browser 74,Internet,500MB,,PKR 7.07,1 Day
Zong,Hot Offer Super Student Bundle 62 59 49,Calls+Internet,30MB,Unlimited,PKR 1.1,2 Hours
Telenor,Hot Offer Daily Offpeak 15 79 24,Internet,350MB,,PKR 12.08,1 Day
Ufone,Hot Offer Weekly Weekly Power Hour 68 12 88 63,Calls+Internet+SMS,2789MB,2988,PKR 218.96,7 Days
Zong,Hot Offer Super Student Bundle 10 54,Calls+Internet,30MB,Unlimited,PKR 5.21,2 Hours
Telenor,Hot Offer 3 Day Voice Offer 36 69,Calls,,600,PKR 17.14,3 Days
